           RELATIVISTIC
 ELASTIC SCATTERING CROSS SECTION
   d sigma/d omega versus theta

Atomic number       : 79
Energy              : 50 eV to 2650 eV, in 1 eV to 400 and 10 eV from there
Total cross section : in units of ao**2
    (ao**2 = 2.8002852E-21 m**2)
First row is Angle from 0 to 180 deg
First col is Energy in eV
Secnd col is Total cross section in unts of a0^2
The rest is cross section for each angle (d sigma/d omega) in units of ao**2/sterad

________________________________________
182,25.14715,87.302353,86.876648,85.616966,83.573837,80.8265,77.476051,73.637512,69.431541,64.976959,60.384659,55.753288,51.166649,46.692829,42.384521,38.28027,34.406311,30.77854,27.404551,24.285509,21.417789,18.794319,16.405649,14.24086,12.28811,10.53516,8.969639,7.579284,6.35207,5.276287,4.340586,3.533993,2.845924,2.266176,1.78493,1.392743,1.080553,0.839679,0.661828,0.539102,0.464011,0.429485,0.428884,0.45601,0.50512,0.570932,0.648633,0.733879,0.822799,0.911987,0.998497,1.079829,1.153917,1.219107,1.274139,1.318121,1.350499,1.371035,1.379768,1.376987,1.363201,1.339098,1.30552,1.263429,1.213874,1.157966,1.096844,1.031658,0.963538,0.893578,0.822815,0.752219,0.682672,0.614965,0.549788,0.487728,0.429263,0.374764,0.324501,0.278642,0.23726,0.200346,0.167808,0.139491,0.115178,0.094607,0.077477,0.063462,0.052221,0.043403,0.036662,0.031664,0.028089,0.025645,0.024066,0.023122,0.022614,0.022386,0.022315,0.022317,0.022343,0.022377,0.022432,0.022548,0.022786,0.023223,0.023947,0.025054,0.026641,0.028801,0.03162,0.035171,0.03951,0.044677,0.050687,0.057535,0.065188,0.073592,0.082667,0.092308,0.102392,0.112775,0.123297,0.133786,0.144061,0.153935,0.163224,0.171744,0.179322,0.185799,0.191029,0.194891,0.197285,0.19814,0.197412,0.195091,0.191199,0.185788,0.178945,0.170788,0.161466,0.151153,0.140051,0.128383,0.116387,0.104318,0.092437,0.08101,0.0703,0.060567,0.052055,0.044997,0.0396,0.036049,0.034497,0.035068,0.037848,0.042886,0.050192,0.059736,0.071448,0.085219,0.100902,0.118313,0.137238,0.157428,0.178614,0.200502,0.222782,0.245134,0.267231,0.288745,0.309357,0.328753,0.346639,0.362742,0.376815,0.388639,0.398032,0.404848,0.40898,0.410365
183,25.06885,87.367172,86.939087,85.67244,83.618301,80.856728,77.48983,73.633682,69.409943,64.938332,60.330441,55.685379,51.087269,46.60429,42.289101,38.180119,34.303371,30.6745,27.300871,24.183399,21.31823,18.698099,16.3134,14.15303,12.20506,10.45712,8.896763,7.511667,6.289744,5.219234,4.288749,3.487281,2.804216,2.229325,1.752766,1.365075,1.057172,0.820358,0.646326,0.527166,0.455377,0.423879,0.426026,0.455617,0.506905,0.57461,0.65392,0.740498,0.830479,0.920467,1.007526,1.089171,1.163351,1.228428,1.283161,1.326675,1.358439,1.378232,1.386115,1.3824,1.367612,1.342463,1.307812,1.26464,1.214014,1.15706,1.094933,1.028795,0.959787,0.889015,0.817523,0.746287,0.676193,0.608037,0.542509,0.480195,0.421573,0.367012,0.316774,0.271024,0.229831,0.193174,0.160958,0.133017,0.109127,0.089018,0.072379,0.058878,0.048162,0.039876,0.033666,0.029189,0.026122,0.024165,0.023049,0.022538,0.022433,0.022572,0.022831,0.023126,0.023407,0.023658,0.023893,0.024153,0.024499,0.025011,0.02578,0.026904,0.028482,0.030609,0.033375,0.036855,0.041107,0.046174,0.052073,0.058799,0.066325,0.074595,0.083531,0.09303,0.102969,0.113205,0.123579,0.133918,0.144043,0.153767,0.162905,0.171275,0.178704,0.185031,0.190114,0.19383,0.196081,0.196796,0.195934,0.193486,0.189474,0.183953,0.177013,0.168773,0.159384,0.149023,0.137896,0.126225,0.114255,0.10224,0.090444,0.079136,0.068583,0.059042,0.050763,0.043977,0.038893,0.035695,0.034538,0.035543,0.038795,0.044342,0.052191,0.06231,0.074624,0.089021,0.10535,0.123423,0.143017,0.163883,0.185743,0.208298,0.231232,0.254219,0.276926,0.299021,0.320176,0.340074,0.358417,0.374925,0.389347,0.401463,0.411085,0.418067,0.4223,0.423718
184,24.99081,87.428802,86.998337,85.724747,83.659653,80.883911,77.500664,73.627007,69.385658,64.897186,60.273891,55.615372,51.006008,46.514099,42.192261,38.078758,34.199429,30.56966,27.196581,24.080851,21.218399,18.601761,16.22114,14.06531,12.1222,10.37936,8.82425,7.444472,6.227886,5.162686,4.237444,3.441118,2.763066,2.193033,1.721153,1.337945,1.034308,0.80153,0.631288,0.51566,0.447136,0.418627,0.423482,0.455495,0.508919,0.578474,0.659352,0.747221,0.838223,0.928973,1.016547,1.098473,1.172715,1.237653,1.292063,1.335091,1.366223,1.385261,1.392287,1.38763,1.371839,1.345644,1.309925,1.26568,1.213992,1.156004,1.092886,1.025811,0.955935,0.884369,0.812168,0.740312,0.669693,0.601109,0.535252,0.472706,0.413948,0.359343,0.30915,0.263528,0.222538,0.186155,0.154274,0.126722,0.103267,0.083627,0.067488,0.054504,0.044319,0.036567,0.030888,0.026932,0.02437,0.022896,0.022238,0.022154,0.022443,0.02294,0.02352,0.024098,0.024622,0.025078,0.02548,0.02587,0.026312,0.026887,0.027688,0.028815,0.030371,0.032454,0.035154,0.038551,0.042705,0.04766,0.053438,0.060035,0.067423,0.075551,0.08434,0.093691,0.103479,0.113564,0.123785,0.133972,0.143945,0.153517,0.162503,0.170723,0.178002,0.184182,0.189119,0.192692,0.194803,0.195382,0.194391,0.191819,0.187692,0.182067,0.175035,0.166717,0.157267,0.146865,0.135717,0.124051,0.112111,0.100156,0.088452,0.077269,0.066876,0.057534,0.049491,0.042981,0.038214,0.035373,0.034614,0.036055,0.039782,0.045839,0.054233,0.064927,0.077844,0.092868,0.109843,0.128575,0.14884,0.17038,0.192913,0.216133,0.23972,0.263341,0.286657,0.30933,0.331027,0.351426,0.370223,0.387135,0.401906,0.414312,0.424164,0.43131,0.435643,0.437094
185,24.913019,87.487312,87.054482,85.773972,83.697952,80.908119,77.508598,73.617577,69.358749,64.8536,60.215092,55.543308,50.92292,46.422298,42.094028,37.976238,34.094528,30.464081,27.091721,23.9779,21.11832,18.505301,16.128889,13.97771,12.03957,10.30191,8.752106,7.377702,6.166499,5.106644,4.186669,3.395501,2.722468,2.157292,1.690084,1.311344,1.011954,0.783185,0.616703,0.504574,0.439279,0.41372,0.421242,0.455636,0.511154,0.582517,0.664921,0.75404,0.846025,0.9375,1.025554,1.107729,1.182004,1.246778,1.300843,1.343365,1.373851,1.392122,1.398281,1.392679,1.375883,1.348644,1.311861,1.266549,1.213809,1.1548,1.090705,1.022711,0.951983,0.879642,0.806752,0.734297,0.663175,0.594184,0.528018,0.465262,0.406388,0.351759,0.30163,0.256153,0.215384,0.179289,0.147757,0.120606,0.097594,0.078434,0.0628,0.050341,0.040689,0.033473,0.028325,0.024889,0.022829,0.021834,0.021627,0.021964,0.022639,0.023485,0.024377,0.025227,0.025984,0.026633,0.02719,0.027698,0.028223,0.028847,0.029667,0.030786,0.032307,0.034332,0.036955,0.040257,0.044302,0.049136,0.054782,0.061239,0.068483,0.07646,0.085097,0.094293,0.103925,0.113853,0.123918,0.13395,0.143768,0.153187,0.162021,0.17009,0.177221,0.183254,0.188047,0.19148,0.193454,0.193902,0.192784,0.190094,0.185858,0.180133,0.173014,0.164624,0.155119,0.144681,0.133519,0.121862,0.109959,0.098069,0.086462,0.075409,0.065182,0.056042,0.04824,0.04201,0.037563,0.035082,0.034722,0.036603,0.040806,0.047376,0.056314,0.067584,0.081105,0.096755,0.114375,0.133768,0.154701,0.176914,0.200118,0.224003,0.24824,0.272493,0.296416,0.319665,0.341903,0.362801,0.382051,0.399365,0.414483,0.427179,0.437258,0.44457,0.449002,0.450487
186,24.83548,87.542763,87.107582,85.820168,83.733269,80.929413,77.513718,73.605438,69.329292,64.807617,60.154091,55.46925,50.838051,46.328949,41.994469,37.872601,33.98872,30.357759,26.98632,23.87458,21.018009,18.408751,16.03668,13.89025,11.95716,10.22476,8.680334,7.31136,6.105583,5.051106,4.136423,3.350427,2.682419,2.122098,1.659553,1.285265,0.990101,0.765316,0.602564,0.493901,0.431796,0.40915,0.419298,0.456031,0.513601,0.58673,0.670619,0.760949,0.853878,0.946043,1.034543,1.116936,1.191216,1.2558,1.309499,1.351497,1.381321,1.398814,1.404098,1.397546,1.379744,1.351463,1.31362,1.267249,1.213469,1.15345,1.088393,1.019496,0.947933,0.874838,0.801278,0.728245,0.65664,0.587264,0.520811,0.457864,0.398894,0.344261,0.294214,0.2489,0.208367,0.172576,0.141405,0.114666,0.092109,0.073436,0.058315,0.046384,0.037269,0.030591,0.025974,0.023056,0.021494,0.020975,0.021214,0.021964,0.023017,0.024205,0.025398,0.026509,0.027487,0.028318,0.029018,0.029631,0.030226,0.030888,0.031715,0.032811,0.034286,0.036242,0.038776,0.041972,0.045897,0.0506,0.056105,0.062414,0.069503,0.077324,0.085801,0.094835,0.104307,0.114074,0.123979,0.133853,0.143514,0.152778,0.161461,0.169379,0.176363,0.182251,0.186902,0.190196,0.192037,0.192357,0.191118,0.188314,0.183972,0.178154,0.170953,0.162497,0.152942,0.142473,0.131303,0.119661,0.1078,0.095981,0.084475,0.073557,0.0635,0.054566,0.04701,0.041063,0.036939,0.034822,0.034864,0.037185,0.041866,0.048948,0.058433,0.070279,0.084403,0.100679,0.118943,0.138995,0.160596,0.18348,0.207354,0.2319,0.256787,0.281669,0.306197,0.33002,0.352796,0.374191,0.393892,0.411607,0.427072,0.440055,0.450362,0.457837,0.462368,0.463886
187,24.7582,87.595238,87.1577,85.863419,83.765694,80.947868,77.516083,73.59066,69.297333,64.759308,60.090939,55.393261,50.75145,46.234081,41.893608,37.767879,33.88203,30.250759,26.8804,23.770901,20.9175,18.31214,15.94451,13.80294,11.875,10.14792,8.608942,7.24545,6.045141,4.996073,4.086702,3.305892,2.642914,2.087445,1.629553,1.259702,0.968742,0.747915,0.588863,0.483631,0.424681,0.404907,0.417641,0.456672,0.516252,0.591107,0.67644,0.767941,0.861777,0.954595,1.043508,1.126088,1.200346,1.264716,1.318027,1.359483,1.388632,1.405336,1.409738,1.402231,1.383423,1.354102,1.315205,1.267784,1.212972,1.151957,1.085952,1.016168,0.943789,0.869958,0.795748,0.722158,0.650091,0.58035,0.513631,0.450514,0.391469,0.33685,0.286903,0.241768,0.201488,0.166014,0.135218,0.108902,0.086809,0.068632,0.054029,0.042631,0.034056,0.027917,0.023831,0.021429,0.020364,0.020314,0.020994,0.022151,0.023574,0.025093,0.026578,0.02794,0.029128,0.030129,0.03096,0.031667,0.03232,0.033006,0.033827,0.03489,0.036305,0.03818,0.040614,0.043694,0.047489,0.05205,0.057404,0.063557,0.070485,0.078141,0.086452,0.09532,0.104625,0.114228,0.12397,0.133683,0.143186,0.152294,0.160824,0.168593,0.175429,0.181175,0.185686,0.188846,0.190556,0.190751,0.189395,0.186481,0.182039,0.176132,0.168855,0.160337,0.150738,0.140244,0.12907,0.11745,0.105635,0.093892,0.082493,0.071715,0.061831,0.053109,0.0458,0.040141,0.036342,0.03459,0.035036,0.037799,0.042959,0.050556,0.060587,0.073009,0.087735,0.104636,0.123544,0.144252,0.166519,0.190073,0.214614,0.23982,0.265353,0.290863,0.315993,0.340389,0.363701,0.385591,0.405741,0.423854,0.439663,0.452933,0.463467,0.471105,0.475735,0.477286
188,24.681179,87.644791,87.20491,85.903793,83.795273,80.963539,77.515762,73.573303,69.262932,64.708733,60.025711,55.31538,50.663181,46.137749,41.791512,37.662109,33.774502,30.143101,26.774,23.666901,20.816811,18.215469,15.8524,13.71579,11.79308,10.07141,8.537934,7.179974,5.985173,4.941544,4.037506,3.261892,2.603948,2.053327,1.600078,1.234647,0.947869,0.730974,0.57559,0.473755,0.417924,0.400984,0.416264,0.457552,0.519101,0.595639,0.682377,0.77501,0.869716,0.963151,1.052445,1.135182,1.209392,1.273523,1.326426,1.367323,1.395783,1.411688,1.415201,1.406736,1.38692,1.356562,1.316617,1.268153,1.212321,1.150323,1.083385,1.01273,0.939554,0.865004,0.790165,0.716038,0.64353,0.573445,0.50648,0.443214,0.384113,0.329527,0.279698,0.234759,0.194746,0.159603,0.129195,0.103313,0.081693,0.064019,0.04994,0.03908,0.031048,0.025449,0.021893,0.020005,0.019433,0.019849,0.020963,0.02252,0.024305,0.026146,0.027913,0.029515,0.030903,0.032063,0.033013,0.033801,0.0345,0.035199,0.036001,0.037018,0.038363,0.040146,0.042468,0.045421,0.049075,0.053485,0.058681,0.064668,0.071427,0.078912,0.087051,0.095747,0.104882,0.114315,0.123892,0.133441,0.142785,0.151737,0.160113,0.167733,0.174424,0.180028,0.184402,0.187429,0.189013,0.189088,0.187617,0.184598,0.180061,0.174069,0.166721,0.158148,0.148509,0.137996,0.126824,0.11523,0.103467,0.091804,0.080516,0.069882,0.060177,0.051669,0.044612,0.039242,0.035772,0.034387,0.035239,0.038445,0.044085,0.052195,0.062773,0.075771,0.091098,0.108623,0.128173,0.149536,0.172467,0.196688,0.221894,0.247758,0.273935,0.300069,0.325799,0.350764,0.37461,0.396993,0.417589,0.4361,0.452252,0.465807,0.476565,0.484366,0.489093,0.490677
189,24.60442,87.691498,87.249283,85.94133,83.82206,80.976501,77.512802,73.553429,69.226151,64.65593,59.95845,55.235661,50.57328,46.040009,41.68819,37.55534,33.666149,30.034821,26.66715,23.562599,20.71596,18.118759,15.76036,13.62881,11.71141,9.995228,8.467314,7.114935,5.925679,4.887517,3.988832,3.218425,2.565517,2.019739,1.571122,1.210094,0.927475,0.714484,0.562739,0.464267,0.411517,0.397372,0.415158,0.458662,0.522139,0.60032,0.688423,0.78215,0.877688,0.971708,1.061349,1.144215,1.218348,1.282218,1.334693,1.375015,1.402772,1.417868,1.420486,1.41106,1.390237,1.358845,1.317857,1.268359,1.211517,1.148549,1.080694,1.009185,0.935228,0.859981,0.784532,0.709887,0.636959,0.566552,0.499361,0.435965,0.376827,0.322293,0.272599,0.227873,0.188142,0.153344,0.123335,0.097898,0.07676,0.059596,0.046047,0.035729,0.028242,0.023183,0.020157,0.018782,0.018698,0.019575,0.021117,0.023067,0.025206,0.027361,0.0294,0.031232,0.032808,0.034115,0.035172,0.036031,0.036763,0.037462,0.038235,0.039194,0.040457,0.042136,0.044336,0.047151,0.050655,0.054905,0.059933,0.065747,0.07233,0.079637,0.087598,0.096117,0.105077,0.114339,0.123746,0.133131,0.142312,0.151107,0.159331,0.166802,0.173349,0.178813,0.183053,0.18595,0.187411,0.187368,0.185788,0.182669,0.178041,0.17197,0.164556,0.155931,0.146259,0.135732,0.124567,0.113003,0.101297,0.089719,0.078547,0.06806,0.058537,0.050247,0.043444,0.038367,0.035228,0.034212,0.035471,0.039121,0.045241,0.053866,0.064989,0.078561,0.094489,0.112636,0.132826,0.154843,0.178436,0.203321,0.22919,0.255708,0.282526,0.309282,0.335609,0.36114,0.385517,0.40839,0.429431,0.448336,0.464829,0.478669,0.48965,0.497613,0.502438,0.504054
190,24.52792,87.735428,87.290871,85.976128,83.846153,80.986801,77.507278,73.531113,69.187057,64.600967,59.889198,55.15416,50.481789,45.940891,41.58371,37.447601,33.55703,29.92593,26.55986,23.45801,20.61496,18.02203,15.66842,13.54201,11.63002,9.919381,8.397087,7.050335,5.866662,4.833993,3.940677,3.175486,2.527617,1.986676,1.542678,1.186035,0.907554,0.698439,0.550301,0.455157,0.405452,0.394063,0.414316,0.459995,0.525359,0.605144,0.694572,0.789354,0.885689,0.980258,1.070217,1.153181,1.227213,1.290799,1.342826,1.382557,1.409599,1.423876,1.425593,1.415204,1.393374,1.360951,1.318927,1.268404,1.210564,1.146639,1.07788,1.005534,0.930815,0.854888,0.778849,0.703709,0.63038,0.55967,0.492274,0.428768,0.369612,0.315149,0.265607,0.221109,0.181675,0.147235,0.117637,0.092656,0.072008,0.055361,0.042348,0.032575,0.025634,0.021117,0.01862,0.017754,0.018156,0.019489,0.021453,0.023788,0.026273,0.028733,0.031034,0.033086,0.03484,0.036282,0.037435,0.038351,0.039106,0.039793,0.040524,0.041414,0.042583,0.044148,0.046216,0.048883,0.052227,0.056308,0.06116,0.066794,0.073194,0.080317,0.088094,0.096431,0.105212,0.114298,0.123535,0.132752,0.141771,0.150409,0.158479,0.165802,0.172207,0.177533,0.181641,0.184412,0.185752,0.185596,0.183911,0.180695,0.175981,0.169836,0.162361,0.15369,0.143989,0.133452,0.122299,0.110771,0.099127,0.087638,0.076586,0.066251,0.056913,0.048844,0.042299,0.037516,0.034709,0.034064,0.035731,0.039826,0.046426,0.055564,0.067233,0.081379,0.097906,0.116673,0.137501,0.160168,0.18442,0.209967,0.236495,0.263665,0.29112,0.318495,0.345416,0.371511,0.396416,0.419776,0.44126,0.460558,0.47739,0.491511,0.502715,0.510838,0.51576,0.517409
191,24.451691,87.776627,87.32975,86.008232,83.867577,80.994522,77.499252,73.506378,69.145699,64.5439,59.81802,55.070919,50.388771,45.840439,41.4781,37.338928,33.44717,29.816481,26.452169,23.35318,20.51384,17.92531,15.57658,13.45541,11.5489,9.843876,8.327258,6.986179,5.808122,4.780971,3.893041,3.133074,2.490242,1.954133,1.514742,1.162465,0.888097,0.682832,0.538268,0.446419,0.399722,0.391051,0.413729,0.461544,0.528754,0.610102,0.700816,0.796617,0.893713,0.988798,1.079042,1.162078,1.235983,1.299263,1.350824,1.389947,1.416262,1.429713,1.430523,1.419167,1.396332,1.362882,1.319828,1.268288,1.209462,1.144593,1.074947,1.00178,0.926317,0.84973,0.773121,0.697503,0.623795,0.552803,0.485221,0.421625,0.36247,0.308095,0.258722,0.214468,0.175346,0.141277,0.112101,0.087584,0.067435,0.051313,0.03884,0.029615,0.023224,0.019249,0.017279,0.01692,0.017803,0.019587,0.021967,0.02468,0.027503,0.030258,0.032812,0.035074,0.036993,0.038561,0.039798,0.04076,0.041525,0.04219,0.042867,0.043676,0.044741,0.04618,0.048105,0.050615,0.053791,0.057694,0.062362,0.067808,0.074018,0.08095,0.088539,0.09669,0.105288,0.114196,0.123258,0.132306,0.141162,0.149642,0.15756,0.164736,0.170999,0.17619,0.180168,0.182816,0.184039,0.183774,0.181988,0.17868,0.173884,0.167669,0.160138,0.151427,0.141702,0.131161,0.120024,0.108536,0.096958,0.085563,0.074634,0.064455,0.055306,0.04746,0.041174,0.036688,0.034216,0.033942,0.036018,0.040558,0.047638,0.057289,0.069502,0.08422,0.101344,0.12073,0.142193,0.165509,0.190416,0.216622,0.243806,0.271623,0.299714,0.327704,0.355215,0.381871,0.4073,0.431146,0.453069,0.472757,0.489926,0.504327,0.515753,0.524035,0.529054,0.530735
192,24.375731,87.815178,87.365982,86.037712,83.886421,80.999702,77.48877,73.479317,69.102127,64.484787,59.744968,54.985989,50.29427,45.738701,41.371399,37.229359,33.336601,29.706499,26.344101,23.2481,20.41263,17.82859,15.48486,13.36902,11.46806,9.768721,8.257832,6.922468,5.75006,4.728451,3.845921,3.091185,2.45339,1.922104,1.487306,1.139377,0.869098,0.667653,0.526634,0.438044,0.394318,0.388326,0.41339,0.4633,0.532317,0.615188,0.70715,0.803932,0.901754,0.997322,1.087822,1.1709,1.244654,1.307606,1.358682,1.397184,1.42276,1.435375,1.435274,1.42295,1.39911,1.364638,1.320561,1.268014,1.208212,1.142414,1.071896,0.997925,0.921736,0.844508,0.767347,0.691274,0.617206,0.545952,0.478205,0.414537,0.355402,0.301132,0.251946,0.207951,0.169154,0.135469,0.106726,0.082684,0.063042,0.04745,0.035522,0.026849,0.021008,0.017575,0.016131,0.016277,0.017637,0.019866,0.022656,0.025739,0.028892,0.031933,0.03473,0.03719,0.039266,0.040947,0.042257,0.043254,0.044017,0.044647,0.04526,0.045978,0.046927,0.048231,0.050003,0.052346,0.055344,0.059061,0.063537,0.068788,0.074801,0.081538,0.088933,0.096894,0.105305,0.114031,0.122918,0.131796,0.140488,0.14881,0.156576,0.163607,0.16973,0.174787,0.178639,0.181166,0.182276,0.181906,0.180022,0.176627,0.171754,0.165474,0.157892,0.149144,0.1394,0.128859,0.117744,0.1063,0.094792,0.083495,0.072693,0.062672,0.053715,0.046095,0.040072,0.035884,0.033747,0.033846,0.03633,0.041316,0.048875,0.059039,0.071794,0.087082,0.104801,0.124803,0.146898,0.170859,0.196419,0.22328,0.251116,0.279578,0.308299,0.336901,0.365,0.392212,0.418163,0.44249,0.46485,0.484925,0.502429,0.517109,0.528754,0.537195,0.542309,0.544022
193,24.300039,87.851143,87.399628,86.064621,83.90274,81.002419,77.475906,73.449966,69.056419,64.423683,59.670101,54.899429,50.198311,45.635719,41.26366,37.118938,33.225349,29.596001,26.23568,23.14283,20.311331,17.73192,15.39327,13.28285,11.38752,9.693923,8.188815,6.859206,5.692478,4.676434,3.799317,3.049817,2.417057,1.890586,1.460366,1.116764,0.85055,0.652898,0.51539,0.430025,0.389233,0.385881,0.413292,0.465257,0.53604,0.620396,0.713567,0.811293,0.909805,1.005824,1.096549,1.179643,1.253222,1.315825,1.366398,1.404263,1.42909,1.440862,1.439845,1.426552,1.401709,1.366219,1.321126,1.267582,1.206817,1.140103,1.068728,0.993971,0.917073,0.839223,0.761532,0.685023,0.610615,0.539119,0.471227,0.407507,0.34841,0.294263,0.245279,0.201558,0.163101,0.129812,0.101513,0.077955,0.058827,0.043771,0.032392,0.024274,0.018985,0.016093,0.015174,0.015821,0.017654,0.020323,0.023516,0.026962,0.030435,0.033754,0.036784,0.039433,0.041654,0.043437,0.044809,0.045829,0.046579,0.047163,0.0477,0.048316,0.049139,0.050297,0.051906,0.054073,0.056884,0.060407,0.064685,0.069734,0.075545,0.08208,0.089277,0.097043,0.105265,0.113807,0.122516,0.131223,0.13975,0.147914,0.155529,0.162415,0.168401,0.173327,0.177054,0.179465,0.180465,0.179993,0.178017,0.174538,0.169593,0.163253,0.155624,0.146845,0.137087,0.12655,0.11546,0.104066,0.092632,0.081436,0.070765,0.060906,0.052143,0.044752,0.038992,0.035104,0.033303,0.033774,0.036668,0.042098,0.050135,0.06081,0.074106,0.089962,0.108273,0.128888,0.151613,0.176215,0.202423,0.229936,0.25842,0.287523,0.31687,0.34608,0.374761,0.402527,0.428996,0.453801,0.476595,0.497055,0.514891,0.529848,0.541711,0.550309,0.555519,0.557263
194,24.224621,87.88456,87.430748,86.08902,83.916588,81.002731,77.460716,73.418411,69.008614,64.360619,59.593449,54.811272,50.100971,45.531528,41.154911,37.007702,33.113449,29.485029,26.12693,23.037359,20.20997,17.63529,15.30183,13.19692,11.30728,9.619489,8.120212,6.796397,5.635379,4.624918,3.753227,3.008967,2.38124,1.859575,1.433917,1.094622,0.832448,0.638559,0.50453,0.422354,0.384458,0.383708,0.413426,0.467406,0.539916,0.625716,0.720059,0.818693,0.917862,1.014299,1.105219,1.188303,1.261682,1.323915,1.373969,1.411184,1.43525,1.446172,1.444234,1.429972,1.404129,1.367626,1.321524,1.266994,1.205277,1.137661,1.065445,0.989919,0.912332,0.833879,0.755677,0.678751,0.604025,0.532307,0.464288,0.400536,0.341495,0.287488,0.238722,0.195291,0.157186,0.124305,0.096461,0.073395,0.054789,0.040275,0.02945,0.021889,0.017153,0.014801,0.014405,0.01555,0.017851,0.020954,0.024544,0.028345,0.032131,0.035718,0.038971,0.041798,0.044153,0.046027,0.04745,0.048482,0.049208,0.049735,0.050185,0.050687,0.051374,0.052376,0.053814,0.055795,0.058412,0.061733,0.065804,0.070644,0.076247,0.082577,0.08957,0.097138,0.105168,0.113524,0.122053,0.130588,0.13895,0.146957,0.154422,0.161165,0.167015,0.171813,0.175419,0.177715,0.17861,0.17804,0.175975,0.172418,0.167405,0.161009,0.153338,0.144532,0.134764,0.124236,0.113177,0.101835,0.090479,0.079388,0.068851,0.059156,0.05059,0.043429,0.037934,0.034347,0.032883,0.033727,0.037029,0.042902,0.051417,0.0626,0.076435,0.092857,0.111757,0.132981,0.156331,0.181571,0.208424,0.236584,0.265712,0.295451,0.325421,0.355233,0.384494,0.412809,0.439792,0.465071,0.488295,0.509137,0.527303,0.542535,0.554614,0.563369,0.568672,0.570449
